Measured:	Estimated:			Updated:
[124  61]	[  50.06  100.1 ]	[ 124.0136504    59.81688018]
[124  61]	[ 124.36016925   59.17148041]	[ 123.83295587   60.73544024]
[124  61]	[ 124.20436291   60.10362403]	[ 123.78441394   61.03602762]
[124  61]	[ 124.18094701   60.40668522]	[ 123.77521176   61.18264973]
[124  61]	[ 124.19860219   60.55250834]	[ 123.79325028   61.26518796]
[125  60]	[ 124.24773712   60.63191562]	[ 123.72066404   61.20195501]
[125  60]	[ 124.09053129   60.58427429]	[ 123.44569109   61.21670233]
[125  60]	[ 123.67332817   60.6299062 ]	[ 122.24562015   61.496949  ]
[125  60]	[ 122.066076     61.00810355]	[ 136.82566492   57.53835978]
[125  60]	[ 140.33351658   56.12263684]	[ 123.50228042   61.03655423]
[125  59]	[ 124.31831559   60.29200182]	[ 124.3445614    60.62515042]
[125  59]	[ 125.32165225   59.82346264]	[ 124.46198517   60.44041434]
[125  59]	[ 125.4668056    59.61821652]	[ 124.44772434   60.31947101]
[125  59]	[ 125.45690284   59.48537717]	[ 124.40097737   60.23077015]
[126  58]	[ 125.40842979   59.38857558]	[ 124.73469266   59.9419601 ]
[126  58]	[ 125.78549139   59.07224285]	[ 124.9008811    59.73459142]
[126  58]	[ 125.97282445   58.84647957]	[ 124.9824873    59.57991887]
[126  58]	[ 126.06491634   58.67890531]	[ 125.01977841   59.46157526]
[126  58]	[ 126.10733475   58.55121618]	[ 125.0334914    59.36936272]
[127  57]	[ 126.12341088   58.45207746]	[ 125.27417549   59.12441509]
[127  57]	[ 126.38530822   58.18919043]	[ 125.43756095   58.93194096]
[127  57]	[ 126.56244177   57.98327281]	[ 125.55042891   58.77880006]
[127  57]	[ 126.6843999   57.8199038]	[ 125.62960896   58.65565148]
[127  57]	[ 126.76969758   57.68887272]	[ 125.68592391   58.55569697]
[127  56]	[ 126.83019529   57.58277499]	[ 125.75231296   58.33469002]
[127  56]	[ 126.90178833   57.34873418]	[ 125.79709951   58.15218217]
[127  56]	[ 126.95003153   57.15585589]	[ 125.82716784   58.00046608]
[127  56]	[ 126.98240212   56.99582285]	[ 125.84714446   57.87357127]
[128  55]	[ 127.0039115    56.86220886]	[ 126.00635121   57.64065501]
[128  55]	[ 127.1722013    56.61731352]	[ 126.13358892   57.44417728]
[128  55]	[ 127.3064373    56.41105838]	[ 126.23621516   57.27754786]
[128  55]	[ 127.41451148   56.23639748]	[ 126.31970209   57.1355214 ]
[128  55]	[ 127.50228048   56.08773413]	[ 126.38816402   57.0138927 ]
[129  54]	[ 127.57413854   55.96059005]	[ 126.56608073   56.79960917]
[129  54]	[ 127.76039309   55.73685534]	[ 126.71576977   56.61464077]
[129  54]	[ 127.91688093   55.54395815]	[ 126.84247404   56.45432791]
[129  54]	[ 128.04916786   55.3769615 ]	[ 126.95033129   56.3148493 ]
[129  54]	[ 128.1616392    55.23182276]	[ 127.04263261   56.19305433]
[130  53]	[ 128.25777754   55.10521371]	[ 127.22617973   55.98950415]
[130  53]	[ 128.44869631   54.89381746]	[ 127.38516677   55.81059865]
[130  53]	[ 128.61389883   54.70818668]	[ 127.52346566   55.6528566 ]
[130  53]	[ 128.75746443   54.5446583 ]	[ 127.64425047   55.5133552 ]
[130  53]	[ 128.88273289   54.40016058]	[ 127.75013798   55.38963029]
[130  53]	[ 128.99245434   54.27210671]	[ 127.84329725   55.27959617]
[130  53]	[ 129.08890571   54.15830959]	[ 127.92553543   55.18148078]
[130  53]	[ 129.17398194   54.05691292]	[ 127.99836543   55.09377311]
[130  53]	[ 129.24926778   53.96633546]	[ 128.06305969   55.01518028]
[132  52]	[ 129.31609475   53.88522553]	[ 128.28479552   54.86438632]
[132  52]	[ 129.54491241   53.7296957 ]	[ 128.48340894   54.72871207]
[132  52]	[ 129.74973551   53.58984733]	[ 128.66174795   54.60637754]
[132  52]	[ 129.93353528   53.46382434]	[ 128.82225772   54.4958421 ]
[132  52]	[ 130.09886058   53.35002153]	[ 128.96704472   54.39576843]
[133  52]	[ 130.24790539   53.24704661]	[ 129.17121331   54.30472735]
[133  52]	[ 130.45794097   53.15341252]	[ 129.356317     54.22202366]
[133  52]	[ 130.64826321   53.06839706]	[ 129.5244586    54.14675824]
[133  52]	[ 130.82105721   52.99106617]	[ 129.67747451   54.07814304]
[133  52]	[ 130.97822989   52.92060173]	[ 129.8169727    54.01548566]
[134  51]	[ 131.12144988   52.85628542]	[ 130.01297707   53.89147721]
[134  51]	[ 131.32260266   52.72905326]	[ 130.19218306   53.7778517 ]
[134  51]	[ 131.50643426   52.6125241 ]	[ 130.35629443   53.67358439]
[134  51]	[ 131.67470949   52.50563677]	[ 130.50681609   53.57776649]
[135  51]	[ 131.82898629   52.4074507 ]	[ 130.70800729   53.48943949]
[135  51]	[ 132.03510427   52.31697421]	[ 130.89315591   53.40806241]
[135  51]	[ 132.22471369   52.23364832]	[ 131.06377572   53.33298957]
[135  51]	[ 132.39937902   52.15680582]	[ 131.22121611   53.26364414]
[135  51]	[ 132.56049414   52.08585099]	[ 131.36668224   53.19950993]
[136  51]	[ 132.70930329   52.02025098]	[ 131.55959648   53.14000965]
[136  51]	[ 132.90657891   51.9594099 ]	[ 131.73831256   53.08486142]
[136  51]	[ 133.08927525   51.90303733]	[ 131.90406757   53.03368871]
[136  51]	[ 133.25866772   51.8507451 ]	[ 132.05797451   52.98615249]
[136  51]	[ 133.41590331   51.80218385]	[ 132.20103633   52.94194696]
[137  50]	[ 133.56201516   51.75703861]	[ 132.38925155   52.84663546]
[137  50]	[ 133.75419242   51.65973136]	[ 132.56452857   52.75780279]
[137  50]	[ 133.93310789   51.56906418]	[ 132.72792179   52.67492788]
[137  50]	[ 134.09984641   51.48450098]	[ 132.88038652   52.59753785]
[138  50]	[ 134.25539054   51.40555549]	[ 133.07436976   52.52512941]
[138  50]	[ 134.45323614   51.33171018]	[ 133.25574386   52.45739606]
[138  50]	[ 134.63817413   51.26265026]	[ 133.42548066   52.39398027]
[138  50]	[ 134.81120294   51.19800846]	[ 133.58446565   52.33455602]
[138  50]	[ 134.97323198   51.13744996]	[ 133.73350663   52.27882563]
[139  50]	[ 135.12509056   51.08066918]	[ 133.92179979   52.22645794]
[139  50]	[ 135.31689708   51.02732615]	[ 134.0986184    52.17727115]
[139  50]	[ 135.49697436   50.97723449]	[ 134.26479197   52.13103615]
[139  50]	[ 135.66617318   50.93015923]	[ 134.42108081   52.08754287]
[139  50]	[ 135.82527317   50.88588497]	[ 134.56818263   52.04659847]
[140  50]	[ 135.97498949   50.84421405]	[ 134.75243092   52.00797765]
[140  50]	[ 136.16247299   50.8049155 ]	[ 134.92610611   51.97157177]
[140  50]	[ 136.33916243   50.76787814]	[ 135.08992831   51.93723004]
[140  50]	[ 136.50579531   50.73294756]	[ 135.244561     51.90481355]
[140  50]	[ 136.663051     50.69998151]	[ 135.39061612   51.87419415]
[140  50]	[ 136.81155589   50.66884882]	[ 135.52865856   51.84525357]
[140  50]	[ 136.95188809   50.63942844]	[ 135.65921027   51.81788249]
[140  50]	[ 137.0845816    50.61160856]	[ 135.78275395   51.79197983]
[140  50]	[ 137.21013016   50.58528577]	[ 135.89973637   51.76745203]
[141  50]	[ 137.32899065   50.56036439]	[ 136.0520066    51.74417804]
[141  50]	[ 137.48367901   50.53672059]	[ 136.19636233   51.72211587]
[141  50]	[ 137.63030315   50.51431154]	[ 136.33329221   51.70119054]
[141  50]	[ 137.76936243   50.49306063]	[ 136.46325007   51.68133243]
[141  50]	[ 137.90132052   50.4728967 ]	[ 136.58665767   51.66247682]
[142  50]	[ 138.02660824   50.45375368]	[ 136.74330301   51.64453457]
[142  50]	[ 138.18561573   50.43554044]	[ 136.89221143   51.62748189]
[142  50]	[ 138.33674727   50.41823278]	[ 137.03383707   51.61126631]
[142  50]	[ 138.48046646   50.40177714]	[ 137.16860326   51.59583896]
[142  50]	[ 138.61720536   50.38612362]	[ 137.29690489   51.58115426]
[143  50]	[ 138.74736692   50.37122573]	[ 137.45665802   51.56714498]
[143  50]	[ 138.90941353   50.35701481]	[ 137.60889374   51.5537987 ]
[143  50]	[ 139.06381408   50.34347826]	[ 137.75403261   51.54107807]
[143  50]	[ 139.21099748   50.330578  ]	[ 137.89246801   51.52894817]
[144  50]	[ 139.35136483   50.31827841]	[ 138.06075719   51.5173545 ]
[144  50]	[ 139.52198081   50.30652387]	[ 138.22141562   51.50629055]
[144  50]	[ 139.68484023   50.29530782]	[ 138.37485476   51.4957275 ]
[144  50]	[ 139.84036244   50.28460087]	[ 138.52146047   51.48563833]
[144  50]	[ 139.98894059   50.27437549]	[ 138.66159471   51.47599771]
[145  50]	[ 140.13094345   50.26460589]	[ 138.83022069   51.46676299]
[145  50]	[ 140.30179806   50.25524856]	[ 138.99153296   51.4579326 ]
[145  50]	[ 140.46522368   50.24630196]	[ 139.14590891   51.44948543]
[145  50]	[ 140.62160459   50.2377446 ]	[ 139.2937034    51.44140167]
[146  50]	[ 140.77130209   50.2295563 ]	[ 139.46871535   51.43364575]
[146  50]	[ 140.94854825   50.22170081]	[ 139.6363916    51.42621865]
[146  50]	[ 141.118347     50.21417916]	[ 139.79709806   51.41910374]
[146  50]	[ 141.28107072   50.20697446]	[ 139.95117952   51.41228538]
[146  50]	[ 141.43707023   50.20007076]	[ 140.09896105   51.40574883]
[148  50]	[ 141.58667624   50.19345307]	[ 140.30499265   51.39945049]
[148  50]	[ 141.7952306    50.18707698]	[ 140.50273633   51.39340962]
[148  50]	[ 141.99537597   50.18096214]	[ 140.69258898   51.38761365]
[148  50]	[ 142.18751594   50.17509579]	[ 140.87492548   51.38205074]
[148  50]	[ 142.3720317    50.16946586]	[ 141.05010008   51.37670968]
[149  50]	[ 142.54928343   50.16406098]	[ 141.24932976   51.37156683]
[149  50]	[ 142.7508569    50.15885705]	[ 141.44085522   51.36662642]
[149  50]	[ 142.94461798   50.15385844]	[ 141.62503122   51.36187893]
[149  50]	[ 143.13092722   50.14905546]	[ 141.80219361   51.35731536]
[150  50]	[ 143.31012589   50.14443897]	[ 142.00261756   51.35291531]
[150  50]	[ 143.51283594   50.13998819]	[ 142.19552379   51.3486836 ]
[150  50]	[ 143.70792592   50.13570808]	[ 142.38124816   51.34461254]
[150  50]	[ 143.89573699   50.13159081]	[ 142.56010916   51.34069485]
[150  50]	[ 144.07659264   50.12762898]	[ 142.7324089    51.33692362]
[151  50]	[ 144.25079968   50.12381558]	[ 142.92731011   51.33328169]
[151  50]	[ 144.44784256   50.12013315]	[ 143.11516513   51.32977432]
[151  50]	[ 144.63774682   50.11658707]	[ 143.29627746   51.32639556]
[151  50]	[ 144.82082056   50.1131713 ]	[ 143.47093544   51.32313979]
[151  50]	[ 144.99735649   50.10988012]	[ 143.63941313   51.32000164]
[152  51]	[ 145.1676328    50.10670809]	[ 143.82975888   51.34480026]
[152  51]	[ 145.35999566   50.13176888]	[ 144.01346672   51.36873776]
[152  51]	[ 145.54563663   50.15595768]	[ 144.1908125    51.39184974]
[152  51]	[ 145.72483558   50.17931062]	[ 144.36205876   51.41417011]
[152  51]	[ 145.89785891   50.20186209]	[ 144.5274555    51.43573115]
[152  52]	[ 146.06496021   50.22364484]	[ 144.68716654   51.48346284]
[152  52]	[ 146.22630549   50.27186447]	[ 144.84149856   51.52958976]
[152  52]	[ 146.38220602   50.31845974]	[ 144.99066748   51.57417619]
[152  52]	[ 146.53288076   50.36349582]	[ 145.13487914   51.61728341]
[153  52]	[ 146.67853848   50.40703489]	[ 145.30055577   51.658962  ]
[153  52]	[ 146.84586552   50.44912818]	[ 145.46079791   51.69927622]
[153  52]	[ 147.0076934   50.4898409]	[ 145.61581803   51.73827929]
[153  52]	[ 147.16423754   50.52922698]	[ 145.76581901   51.77602203]
[153  52]	[ 147.31570359   50.56733796]	[ 145.91099456   51.81255298]
[154  52]	[ 147.46228791   50.60422301]	[ 146.07692327   51.84791132]
[154  52]	[ 147.62981654   50.63992183]	[ 146.23758133   51.88214903]
[154  52]	[ 147.79201381   50.67448715]	[ 146.39316836   51.91530846]
[154  52]	[ 147.94908201   50.70796185]	[ 146.5438752    51.94743007]
[154  52]	[ 148.10121451   50.74038694]	[ 146.68988438   51.97855258]
[155  52]	[ 148.24859625   50.77180166]	[ 146.85598288   52.00870649]
[155  52]	[ 148.41624652   50.80223689]	[ 147.01696722   52.03793424]
[155  52]	[ 148.57872555   50.83173562]	[ 147.17302518   52.06626973]
[155  52]	[ 148.73622354   50.86033221]	[ 147.32433654   52.09374544]
[156  53]	[ 148.88892261   50.88805955]	[ 147.49504199   52.14438427]
[156  53]	[ 149.06118384   50.93915953]	[ 147.66061924   52.19350397]
[156  53]	[ 149.22826103   50.98872383]	[ 147.82125204   52.24115887]
[156  53]	[ 149.39034024   51.03680749]	[ 147.97711649   52.28740105]
